,ED_CODE,variable,value,year,party
1,107,AITCHISON,89,2011,
2,107,BAPTISTE,107,2011,
3,107,CORNELL,114,2011,
4,107,NATION,2735,2011,
5,107,RAKOCEVIC,7901,2011,
6,107,RINI,287,2011,
7,107,SERGIO,11455,2011,
8,107,REJECTED,109,2011,
9,107,UNMARKED,43,2011,
10,107,DECLINED,18,2011,
11,107,VOTER_TURNOUT,22858,2011,
12,107,ELECTORS,58255,2011,
13,106,ALBANESE,13805,2011,
14,106,COMPTON,151,2011,
15,106,DANIEL,3441,2011,
16,106,FERREIRA,13071,2011,
17,106,JARRETT,474,2011,
18,106,RADEJEWSKY,45,2011,
19,106,REJECTED,161,2011,
20,106,UNMARKED,50,2011,
21,106,DECLINED,16,2011,
22,106,VOTER_TURNOUT,31214,2011,
23,106,ELECTORS,69580,2011,
24,105,HARRISON,201,2011,
25,105,HELMAN,1479,2011,
26,105,HODGINS,489,2011,
27,105,MUNRO,20425,2011,
28,105,RESZLER,9496,2011,
29,105,TAY,6607,2011,
30,105,REJECTED,133,2011,
31,105,UNMARKED,20,2011,
32,105,DECLINED,30,2011,
33,105,VOTER_TURNOUT,38880,2011,
34,105,ELECTORS,90599,2011,
35,104,EPSTEIN,846,2011,
36,104,FAGAN,4579,2011,
37,104,KWINTER,14694,2011,
38,104,MOSTYN,11506,2011,
39,104,PANCER,127,2011,
40,104,SHEVYRYOV,535,2011,
41,104,TAL,108,2011,
42,104,REJECTED,216,2011,
43,104,UNMARKED,91,2011,
44,104,DECLINED,18,2011,
45,104,VOTER_TURNOUT,32720,2011,
46,104,ELECTORS,71531,2011,
47,103,BRANCH,8476,2011,
48,103,CHARIF,10544,2011,
49,103,DUROCHER,1051,2011,
50,103,PIRUZZA,14127,2011,
51,103,REJECTED,128,2011,
52,103,UNMARKED,61,2011,
53,103,DECLINED,24,2011,
54,103,VOTER_TURNOUT,34411,2011,
55,103,ELECTORS,82773,2011,
56,102,DE VERTEUIL,7751,2011,
57,102,DOMINATO,476,2011,
58,102,DUNCAN,15946,2011,
59,102,LEVESQUE,830,2011,
60,102,MCAVOY,12228,2011,
61,102,REJECTED,142,2011,
62,102,UNMARKED,40,2011,
63,102,DECLINED,40,2011,
64,102,VOTER_TURNOUT,37453,2011,
65,102,ELECTORS,83807,2011,
66,101,AGOVINO,14528,2011,
67,101,BROWN,5556,2011,
68,101,BROWN,5556,2011,
69,101,VETTESE,874,2011,
70,101,ZIMMER,21984,2011,
71,101,REJECTED,99,2011,
72,101,UNMARKED,77,2011,
73,101,DECLINED,27,2011,
74,101,VOTER_TURNOUT,43442,2011,
75,101,ELECTORS,95694,2011,
76,100,ELLIOTT,24499,2011,
77,100,GIBSON,1139,2011,
78,100,KING,211,2011,
79,100,ROY,16988,2011,
80,100,SADEM-THOMPSON,7865,2011,
81,100,THOM,160,2011,
82,100,REJECTED,105,2011,
83,100,UNMARKED,25,2011,
84,100,DECLINED,24,2011,
85,100,VOTER_TURNOUT,51016,2011,
86,100,ELECTORS,102672,2011,
87,99,ARNOTT,23495,2011,
88,99,DARTSCH,1309,2011,
89,99,HAMILTON,6106,2011,
90,99,JOHNSON,11334,2011,
91,99,REJECTED,70,2011,
92,99,UNMARKED,44,2011,
93,99,DECLINED,23,2011,
94,99,VOTER_TURNOUT,42381,2011,
95,99,ELECTORS,82926,2011,
96,98,CRIDLAND,1005,2011,
97,98,FORSTER,19527,2011,
98,98,HAMILTON,505,2011,
99,98,MERCIER,8638,2011,
100,98,URSINI,14048,2011,
101,98,REJECTED,200,2011,
102,98,UNMARKED,36,2011,
103,98,DECLINED,12,2011,
104,98,VOTER_TURNOUT,43971,2011,
105,98,ELECTORS,85141,2011,
106,97,DONOFRIO,5594,2011,
107,97,FABRIZIO,929,2011,
108,97,FRYE,694,2011,
109,97,GENCO,15420,2011,
110,97,MARINO,169,2011,
111,97,NATALE,218,2011,
112,97,QUATELA,169,2011,
113,97,SORBARA,26174,2011,
114,97,REJECTED,308,2011,
115,97,UNMARKED,87,2011,
116,97,DECLINED,11,2011,
117,97,VOTER_TURNOUT,49773,2011,
118,97,ELECTORS,121154,2011,
119,96,AHMED,139,2011,
120,96,FOGEL,117,2011,
121,96,GRANT,2415,2011,
122,96,MARCHESE,19870,2011,
123,96,OCRAN-CAESAR,88,2011,
124,96,THOMSON,18731,2011,
125,96,URSOMARZO,126,2011,
126,96,YEN,5420,2011,
127,96,REJECTED,112,2011,
128,96,UNMARKED,65,2011,
129,96,DECLINED,28,2011,
130,96,VOTER_TURNOUT,47111,2011,
131,96,ELECTORS,109565,2011,
132,95,CLARKE,143,2011,
133,95,JETHI,3488,2011,
134,95,MERCER,110,2011,
135,95,RECKER,440,2011,
136,95,RICHARDSON,75,2011,
137,95,STERLING,11369,2011,
138,95,TABUNS,20062,2011,
139,95,VERA,107,2011,
140,95,WHALLEY,1354,2011,
141,95,REJECTED,157,2011,
142,95,UNMARKED,45,2011,
143,95,DECLINED,24,2011,
144,95,VOTER_TURNOUT,37374,2011,
145,95,ELECTORS,75815,2011,
146,94,ABELL,7186,2011,
147,94,CROWE,11571,2011,
148,94,DAYE,1123,2011,
149,94,FALARDEAU,441,2011,
150,94,GOODWIN,92,2011,
151,94,HOLLIDAY,146,2011,
152,94,MURRAY,25236,2011,
153,94,ROTENBERG,93,2011,
154,94,SARAZEN,29,2011,
155,94,YAZDANFAR,19,2011,
156,94,REJECTED,205,2011,
157,94,UNMARKED,57,2011,
158,94,DECLINED,24,2011,
159,94,VOTER_TURNOUT,46222,2011,
160,94,ELECTORS,95466,2011,
161,93,BISSON,11479,2011,
162,93,NERON,108,2011,
163,93,PLANT,233,2011,
164,93,RICKARD,2870,2011,
165,93,SPACEK,8515,2011,
166,93,REJECTED,61,2011,
167,93,UNMARKED,20,2011,
168,93,DECLINED,2,2011,
169,93,VOTER_TURNOUT,23288,2011,
170,93,ELECTORS,49723,2011,
171,92,AULBROOK,5337,2011,
172,92,BONIN,6532,2011,
173,92,COURVILLE,391,2011,
174,92,DANESE,312,2011,
175,92,VANTHOF,12633,2011,
176,92,REJECTED,64,2011,
177,92,UNMARKED,24,2011,
178,92,DECLINED,3,2011,
179,92,VOTER_TURNOUT,25296,2011,
180,92,ELECTORS,50554,2011,
181,91,GALLO,133,2011,
182,91,GRAVELLE,11765,2011,
183,91,KYLE,555,2011,
184,91,LEBLANC,4578,2011,
185,91,MANTIS,9111,2011,
186,91,REJECTED,69,2011,
187,91,UNMARKED,24,2011,
188,91,DECLINED,4,2011,
189,91,VOTER_TURNOUT,26239,2011,
190,91,ELECTORS,54443,2011,
191,90,GILBERT,5815,2011,
192,90,KOZORYS,9881,2011,
193,90,MAURO,10319,2011,
194,90,MCMENEMY,86,2011,
195,90,MILNES,379,2011,
196,90,REJECTED,59,2011,
197,90,UNMARKED,31,2011,
198,90,DECLINED,8,2011,
199,90,VOTER_TURNOUT,26578,2011,
200,90,ELECTORS,57027,2011,
201,89,BALFOUR,623,2011,
202,89,DUNCAN,756,2011,
203,89,FARBER,18373,2011,
204,89,GORMAN,149,2011,
205,89,HACKELBERG,4024,2011,
206,89,SHURMAN,20971,2011,
207,89,REJECTED,160,2011,
208,89,UNMARKED,63,2011,
209,89,DECLINED,16,2011,
210,89,VOTER_TURNOUT,45135,2011,
211,89,ELECTORS,99517,2011,
212,88,BARTOLUCCI,13735,2011,
213,88,LABELLE,4400,2011,
214,88,LOEWENBERG,13204,2011,
215,88,MURPHY MARKETOS,164,2011,
216,88,POPESCU,44,2011,
217,88,ROGERSON,870,2011,
218,88,REJECTED,73,2011,
219,88,UNMARKED,26,2011,
220,88,DECLINED,13,2011,
221,88,VOTER_TURNOUT,32529,2011,
222,88,ELECTORS,65130,2011,
223,87,DONNELLY,396,2011,
224,87,MACDONALD,8021,2011,
225,87,MACDONALD,8021,2011,
226,87,MCDONELL,21463,2011,
227,87,REIST,551,2011,
228,87,REJECTED,146,2011,
229,87,UNMARKED,41,2011,
230,87,DECLINED,18,2011,
231,87,VOTER_TURNOUT,39049,2011,
232,87,ELECTORS,75975,2011,
233,86,DUNLOP,25081,2011,
234,86,LARSEN,10191,2011,
235,86,MIDDLETON,7710,2011,
236,86,STUBBINS,2488,2011,
237,86,REJECTED,92,2011,
238,86,UNMARKED,28,2011,
239,86,DECLINED,22,2011,
240,86,VOTER_TURNOUT,45612,2011,
241,86,ELECTORS,89474,2011,
242,85,KENWELL,10404,2011,
243,85,MATTHEWS,6839,2011,
244,85,SCHREINER,4057,2011,
245,85,WILSON,25339,2011,
246,85,REJECTED,109,2011,
247,85,UNMARKED,43,2011,
248,85,DECLINED,14,2011,
249,85,VOTER_TURNOUT,46805,2011,
250,85,ELECTORS,97272,2011,
251,84,BERARDINETTI,14585,2011,
252,84,BLANCO-RUIBAL,250,2011,
253,84,BUDD,10404,2011,
254,84,CHOPOWICK,7061,2011,
255,84,MCKIM,777,2011,
256,84,REJECTED,102,2011,
257,84,UNMARKED,43,2011,
258,84,DECLINED,10,2011,
259,84,VOTER_TURNOUT,33232,2011,
260,84,ELECTORS,69553,2011,
261,83,BALKISSOON,15237,2011,
262,83,KIM,6837,2011,
263,83,LIAO,457,2011,
264,83,ROSCH,166,2011,
265,83,SHAN,13088,2011,
266,83,SINGH,455,2011,
267,83,WALKER,150,2011,
268,83,REJECTED,130,2011,
269,83,UNMARKED,80,2011,
270,83,DECLINED,5,2011,
271,83,VOTER_TURNOUT,36605,2011,
272,83,ELECTORS,85338,2011,
273,82,APELBAUM,407,2011,
274,82,BEST,15607,2011,
275,82,ELLIS,9137,2011,
276,82,OLIVER,136,2011,
277,82,POCHKHANAWALA,413,2011,
278,82,URBAN,6194,2011,
279,82,REJECTED,158,2011,
280,82,UNMARKED,49,2011,
281,82,DECLINED,16,2011,
282,82,VOTER_TURNOUT,32117,2011,
283,82,ELECTORS,67408,2011,
284,81,DRIVER,301,2011,
285,81,DUGUID,16142,2011,
286,81,MATHURIN,6876,2011,
287,81,MOLE,558,2011,
288,81,WILLIAMS,7511,2011,
289,81,REJECTED,117,2011,
290,81,UNMARKED,53,2011,
291,81,DECLINED,10,2011,
292,81,VOTER_TURNOUT,31568,2011,
293,81,ELECTORS,70958,2011,
294,80,AHUJA,209,2011,
295,80,CHEN,10222,2011,
296,80,CHOI,5017,2011,
297,80,MCLARTY,656,2011,
298,80,THOMPSON,722,2011,
299,80,WALL,83,2011,
300,80,WONG,14907,2011,
301,80,REJECTED,160,2011,
302,80,UNMARKED,76,2011,
303,80,DECLINED,10,2011,
304,80,VOTER_TURNOUT,32062,2011,
305,80,ELECTORS,73583,2011,
306,79,HUNT,172,2011,
307,79,MACMICHAEL,519,2011,
308,79,ORAZIETTI,16109,2011,
309,79,ROSS,9037,2011,
310,79,TURNER,3477,2011,
311,79,REJECTED,94,2011,
312,79,UNMARKED,39,2011,
313,79,DECLINED,14,2011,
314,79,VOTER_TURNOUT,29461,2011,
315,79,ELECTORS,59698,2011,
316,78,BAILEY,19570,2011,
317,78,BARRY,8819,2011,
318,78,BRUZIEWICZ,1077,2011,
319,78,FALBY,160,2011,
320,78,VERMETTE,567,2011,
321,78,WHITE,10307,2011,
322,78,REJECTED,120,2011,
323,78,UNMARKED,56,2011,
324,78,DECLINED,23,2011,
325,78,VOTER_TURNOUT,40699,2011,
326,78,ELECTORS,78646,2011,
327,77,HOSKINS,25048,2011,
328,77,HYNES,7124,2011,
329,77,KITTREDGE,335,2011,
330,77,MCGIRR,8972,2011,
331,77,PINTO,83,2011,
332,77,RITA,86,2011,
333,77,VALLANCE,69,2011,
334,77,VAN VELDHUYSEN,1180,2011,
335,77,REJECTED,110,2011,
336,77,UNMARKED,49,2011,
337,77,DECLINED,18,2011,
338,77,VOTER_TURNOUT,43074,2011,
339,77,ELECTORS,85451,2011,
340,76,BELLOWS,15461,2011,
341,76,BRADLEY,17166,2011,
342,76,CLARKE,191,2011,
343,76,LOWELL,8624,2011,
344,76,MOORADIAN,1066,2011,
345,76,RADICK,62,2011,
346,76,UNRAU,57,2011,
347,76,WAZIRUDDIN,68,2011,
348,76,REJECTED,126,2011,
349,76,UNMARKED,42,2011,
350,76,DECLINED,20,2011,
351,76,VOTER_TURNOUT,42883,2011,
352,76,ELECTORS,84078,2011,
353,75,CHAMBERLAIN,1268,2011,
354,75,DEMJEN,394,2011,
355,75,DEVITA,4987,2011,
356,75,GUPTA,13763,2011,
357,75,MORIDI,18042,2011,
358,75,REJECTED,121,2011,
359,75,UNMARKED,81,2011,
360,75,DECLINED,14,2011,
361,75,VOTER_TURNOUT,38670,2011,
362,75,ELECTORS,91010,2011,
363,74,DOUGHERTY,4277,2011,
364,74,JONES,574,2011,
365,74,O'LEARY,6231,2011,
366,74,REID,309,2011,
367,74,YAKABUSKI,27594,2011,
368,74,REJECTED,75,2011,
369,74,UNMARKED,23,2011,
370,74,DECLINED,9,2011,
371,74,VOTER_TURNOUT,39092,2011,
372,74,ELECTORS,74191,2011,
373,73,DOMBROWSKY,15686,2011,
374,73,FORD,257,2011,
375,73,HAYES,7379,2011,
376,73,HULL,2049,2011,
377,73,SKINNER,201,2011,
378,73,SMITH,18816,2011,
379,73,TUCK,115,2011,
380,73,REJECTED,85,2011,
381,73,UNMARKED,34,2011,
382,73,DECLINED,33,2011,
383,73,VOTER_TURNOUT,44655,2011,
384,73,ELECTORS,86304,2011,
385,72,CARIÑO,6424,2011,
386,72,GAUDET,13033,2011,
387,72,MACCHARLES,18201,2011,
388,72,SMITH,1096,2011,
389,72,THOMAS,252,2011,
390,72,REJECTED,118,2011,
391,72,UNMARKED,31,2011,
392,72,DECLINED,17,2011,
393,72,VOTER_TURNOUT,39172,2011,
394,72,ELECTORS,78835,2011,
395,71,BEAMISH,1235,2011,
396,71,LEAL,19430,2011,
397,71,LONG,127,2011,
398,71,NICKLE,12460,2011,
399,71,RANNEY,83,2011,
400,71,WILSON,15323,2011,
401,71,REJECTED,121,2011,
402,71,UNMARKED,50,2011,
403,71,DECLINED,48,2011,
404,71,VOTER_TURNOUT,48877,2011,
405,71,ELECTORS,91908,2011,
406,70,DESJARDINS,918,2011,
407,70,DEVRIES,627,2011,
408,70,PAPENBURG,5836,2011,
409,70,PETTAPIECE,14845,2011,
410,70,SMINK,164,2011,
411,70,WILKINSON,14635,2011,
412,70,REJECTED,84,2011,
413,70,UNMARKED,38,2011,
414,70,DECLINED,22,2011,
415,70,VOTER_TURNOUT,37169,2011,
416,70,ELECTORS,71629,2011,
417,69,MILLER,19417,2011,
418,69,RICHTER,3251,2011,
419,69,STIVRINS,167,2011,
420,69,WATERS,6537,2011,
421,69,ZYGANIUK,6527,2011,
422,69,REJECTED,52,2011,
423,69,UNMARKED,25,2011,
424,69,DECLINED,94,2011,
425,69,VOTER_TURNOUT,36070,2011,
426,69,ELECTORS,69651,2011,
427,68,BABULA,84,2011,
428,68,DINOVO,18365,2011,
429,68,GANETAKOS,4668,2011,
430,68,LUU,78,2011,
431,68,PASTERNAK,14877,2011,
432,68,RADEJEWSKY,88,2011,
433,68,ROJAS,172,2011,
434,68,TAR,39,2011,
435,68,TROTTIER,1325,2011,
436,68,ZAUGG,56,2011,
437,68,REJECTED,126,2011,
438,68,UNMARKED,56,2011,
439,68,DECLINED,25,2011,
440,68,VOTER_TURNOUT,39959,2011,
441,68,ELECTORS,77163,2011,
442,67,EISEN,5885,2011,
443,67,HARDEMAN,20658,2011,
444,67,HILDERLEY,9410,2011,
445,67,STEWART-MOTT,1336,2011,
446,67,VANDERHOEVEN,359,2011,
447,67,REJECTED,83,2011,
448,67,UNMARKED,20,2011,
449,67,DECLINED,20,2011,
450,67,VOTER_TURNOUT,37771,2011,
451,67,ELECTORS,76804,2011,
452,66,BYRNE,6576,2011,
453,66,CHIARELLI,18492,2011,
454,66,DENLEY,17483,2011,
455,66,HILL,1485,2011,
456,66,PACHECO,396,2011,
457,66,REJECTED,119,2011,
458,66,UNMARKED,41,2011,
459,66,DECLINED,14,2011,
460,66,VOTER_TURNOUT,44606,2011,
461,66,ELECTORS,82187,2011,
462,65,BAGLER,1719,2011,
463,65,HOULE,352,2011,
464,65,LALIBERTÉ-TIPPLE,7466,2011,
465,65,MEILLEUR,19619,2011,
466,65,SHERMAN,8929,2011,
467,65,REJECTED,107,2011,
468,65,UNMARKED,40,2011,
469,65,DECLINED,14,2011,
470,65,VOTER_TURNOUT,38246,2011,
471,65,ELECTORS,81712,2011,
472,64,BRISSON,252,2011,
473,64,FARAH,5988,2011,
474,64,MACDONALD,14945,2011,
475,64,MCGUINTY,21842,2011,
476,64,MIHAYCHUK,1442,2011,
477,64,REDINS,238,2011,
478,64,REJECTED,159,2011,
479,64,UNMARKED,45,2011,
480,64,DECLINED,18,2011,
481,64,VOTER_TURNOUT,44929,2011,
482,64,ELECTORS,87766,2011,
483,63,GUTMANIS,886,2011,
484,63,LISTER,19003,2011,
485,63,MCGRUER,183,2011,
486,63,MCKERCHER,4979,2011,
487,63,MCNEELY,21857,2011,
488,63,PAUL,154,2011,
489,63,REJECTED,131,2011,
490,63,UNMARKED,37,2011,
491,63,DECLINED,11,2011,
492,63,VOTER_TURNOUT,47241,2011,
493,63,ELECTORS,89726,2011,
494,62,CHAPMAN,309,2011,
495,62,DEKKER,9257,2011,
496,62,NAIDOO,14715,2011,
497,62,NAQVI,23646,2011,
498,62,O'DONNELL,2184,2011,
499,62,RYAN,160,2011,
500,62,ZEITHAMMEL,240,2011,
501,62,REJECTED,138,2011,
502,62,UNMARKED,44,2011,
503,62,DECLINED,108,2011,
504,62,VOTER_TURNOUT,50801,2011,
505,62,ELECTORS,94553,2011,
506,61,BELANGER,435,2011,
507,61,FUDGE,147,2011,
508,61,LEADBETTER,1035,2011,
509,61,MENEZES,6921,2011,
510,61,OUELLETTE,16719,2011,
511,61,SHIELDS,14316,2011,
512,61,REJECTED,106,2011,
513,61,UNMARKED,40,2011,
514,61,DECLINED,16,2011,
515,61,VOTER_TURNOUT,39735,2011,
516,61,ELECTORS,89767,2011,
517,60,BANZUELA,188,2011,
518,60,CHLOBOWSKI,878,2011,
519,60,FLYNN,21711,2011,
520,60,HARRIS,498,2011,
521,60,HUNTER,115,2011,
522,60,SCOTT,17131,2011,
523,60,SPRAGUE,4625,2011,
524,60,REJECTED,104,2011,
525,60,UNMARKED,33,2011,
526,60,DECLINED,25,2011,
527,60,VOTER_TURNOUT,45308,2011,
528,60,ELECTORS,85971,2011,
529,59,BOELLING,1057,2011,
530,59,HAITAS,1569,2011,
531,59,JACZEK,28878,2011,
532,59,LU,484,2011,
533,59,WASSEF,23950,2011,
534,59,WHITFELD,8548,2011,
535,59,REJECTED,216,2011,
536,59,UNMARKED,137,2011,
537,59,DECLINED,42,2011,
538,59,VOTER_TURNOUT,64881,2011,
539,59,ELECTORS,151959,2011,
540,58,MCLARTY,357,2011,
541,58,MEES,8589,2011,
542,58,MILLIGAN,19279,2011,
543,58,RIEGER,159,2011,
544,58,RINALDI,18572,2011,
545,58,SMITH TORRIE,1483,2011,
546,58,REJECTED,102,2011,
547,58,UNMARKED,61,2011,
548,58,DECLINED,19,2011,
549,58,VOTER_TURNOUT,48621,2011,
550,58,ELECTORS,93720,2011,
551,57,FEDELI,15381,2011,
552,57,GIROUX,5567,2011,
553,57,HAIG,971,2011,
554,57,WHITING,8775,2011,
555,57,REJECTED,98,2011,
556,57,UNMARKED,42,2011,
557,57,DECLINED,12,2011,
558,57,VOTER_TURNOUT,30846,2011,
